"StatutoryReasonForStop","InterventionReasonCode","Federal Fiscal Year","Total Stops Per Reason"
"Administrative Offense","Equipment Violation","2015-2016",760
"Cell Phone","Equipment Violation","2015-2016",287
"Defective Lights","Equipment Violation","2015-2016",31309
"Display of Plates","Equipment Violation","2015-2016",6176
"Equipment Violation","Equipment Violation","2015-2016",886
"Moving Violation","Equipment Violation","2015-2016",313
"Other","Equipment Violation","2015-2016",1795
"Registration","Equipment Violation","2015-2016",3123
"Seatbelt","Equipment Violation","2015-2016",1085
"Speed Related","Equipment Violation","2015-2016",373
"STC Violation","Equipment Violation","2015-2016",274
"Stop Sign","Equipment Violation","2015-2016",108
"Traffic Control Signal","Equipment Violation","2015-2016",115
"Unlicensed Operation","Equipment Violation","2015-2016",162
"Window Tint","Equipment Violation","2015-2016",3449
