"StatutoryReasonForStop","InterventionReasonCode","Federal Fiscal Year","Total Stops Per Reason"
"Administrative Offense","Motor Vehicle Violation","2015-2016",8515
"Cell Phone","Motor Vehicle Violation","2015-2016",53370
"Defective Lights","Motor Vehicle Violation","2015-2016",16575
"Display of Plates","Motor Vehicle Violation","2015-2016",7684
"Equipment Violation","Motor Vehicle Violation","2015-2016",546
"Moving Violation","Motor Vehicle Violation","2015-2016",45708
"Other","Motor Vehicle Violation","2015-2016",18105
"Registration","Motor Vehicle Violation","2015-2016",47187
"Seatbelt","Motor Vehicle Violation","2015-2016",20508
"Speed Related","Motor Vehicle Violation","2015-2016",158925
"STC Violation","Motor Vehicle Violation","2015-2016",46323
"Stop Sign","Motor Vehicle Violation","2015-2016",37893
"Traffic Control Signal","Motor Vehicle Violation","2015-2016",38505
"Unlicensed Operation","Motor Vehicle Violation","2015-2016",2656
"Window Tint","Motor Vehicle Violation","2015-2016",2661
